model_slug,model_id,model_type_guess,prompt_type,task,split,n_samples_meta,n_scored,n_exact,exact_match_pct,st_rhyme_n_scored,st_rhyme_relaxed_match_pct,st_combined_n_scored,st_combined_pred_parse_pct,st_combined_meter_field_pct,st_combined_meter_type_field_pct,st_combined_rhyme_field_pct,st_combined_end_field_pct,st_combined_caesura_field_pct,st_combined_mean_field_pct,st_combined_all_four_pct,json_path
HuggingFaceTB_SmolLM-360M-Instruct,HuggingFaceTB/SmolLM-360M-Instruct,causal,zero_shot,combined,test,500,500,0,0.0,,,500,18.4,1.2,0.0,0.0,10.0,0.0,2.8,0.0,evaluation/results/baselines/prompt_only/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_combined.json
HuggingFaceTB_SmolLM-360M-Instruct,HuggingFaceTB/SmolLM-360M-Instruct,causal,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_meter_only.json
HuggingFaceTB_SmolLM-360M-Instruct,HuggingFaceTB/SmolLM-360M-Instruct,causal,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_natural_text.json
HuggingFaceTB_SmolLM-360M-Instruct,HuggingFaceTB/SmolLM-360M-Instruct,causal,zero_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_rhyme_only.json
Qwen_Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct,causal,zero_shot,combined,test,500,500,0,0.0,,,500,32.0,0.0,8.4,0.0,23.6,9.8,8.36,0.0,evaluation/results/baselines/prompt_only/Qwen_Qwen2-7B-Instruct/zero_shot_combined.json
Qwen_Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct,causal,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/Qwen_Qwen2-7B-Instruct/zero_shot_meter_only.json
Qwen_Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct,causal,zero_shot,natural_text,test,200,200,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/Qwen_Qwen2-7B-Instruct/zero_shot_natural_text.json
Qwen_Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct,causal,zero_shot,rhyme_only,test,200,200,0,0.0,200,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/Qwen_Qwen2-7B-Instruct/zero_shot_rhyme_only.json
facebook_bart-base,facebook/bart-base,seq2seq,few_shot,combined,test,500,500,0,0.0,,,500,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/facebook_bart-base/few_shot_combined.json
facebook_bart-base,facebook/bart-base,seq2seq,few_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-base/few_shot_meter_only.json
facebook_bart-base,facebook/bart-base,seq2seq,few_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-base/few_shot_natural_text.json
facebook_bart-base,facebook/bart-base,seq2seq,few_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-base/few_shot_rhyme_only.json
facebook_bart-base,facebook/bart-base,seq2seq,one_shot,combined,test,500,500,0,0.0,,,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/facebook_bart-base/one_shot_combined.json
facebook_bart-base,facebook/bart-base,seq2seq,one_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-base/one_shot_meter_only.json
facebook_bart-base,facebook/bart-base,seq2seq,one_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-base/one_shot_natural_text.json
facebook_bart-base,facebook/bart-base,seq2seq,one_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-base/one_shot_rhyme_only.json
facebook_bart-base,facebook/bart-base,seq2seq,zero_shot,combined,test,500,500,0,0.0,,,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/facebook_bart-base/zero_shot_combined.json
facebook_bart-base,facebook/bart-base,seq2seq,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-base/zero_shot_meter_only.json
facebook_bart-base,facebook/bart-base,seq2seq,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-base/zero_shot_natural_text.json
facebook_bart-base,facebook/bart-base,seq2seq,zero_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-base/zero_shot_rhyme_only.json
facebook_bart-large,facebook/bart-large,seq2seq,few_shot,combined,test,500,500,0,0.0,,,500,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/facebook_bart-large/few_shot_combined.json
facebook_bart-large,facebook/bart-large,seq2seq,few_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-large/few_shot_meter_only.json
facebook_bart-large,facebook/bart-large,seq2seq,few_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-large/few_shot_natural_text.json
facebook_bart-large,facebook/bart-large,seq2seq,few_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-large/few_shot_rhyme_only.json
facebook_bart-large,facebook/bart-large,seq2seq,one_shot,combined,test,500,500,0,0.0,,,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/facebook_bart-large/one_shot_combined.json
facebook_bart-large,facebook/bart-large,seq2seq,one_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-large/one_shot_meter_only.json
facebook_bart-large,facebook/bart-large,seq2seq,one_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-large/one_shot_natural_text.json
facebook_bart-large,facebook/bart-large,seq2seq,one_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-large/one_shot_rhyme_only.json
facebook_bart-large,facebook/bart-large,seq2seq,zero_shot,combined,test,500,500,0,0.0,,,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/facebook_bart-large/zero_shot_combined.json
facebook_bart-large,facebook/bart-large,seq2seq,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-large/zero_shot_meter_only.json
facebook_bart-large,facebook/bart-large,seq2seq,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-large/zero_shot_natural_text.json
facebook_bart-large,facebook/bart-large,seq2seq,zero_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-large/zero_shot_rhyme_only.json
google_flan-t5-base,google/flan-t5-base,seq2seq,few_shot,combined,test,500,500,0,0.0,,,500,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/google_flan-t5-base/few_shot_combined.json
google_flan-t5-base,google/flan-t5-base,seq2seq,few_shot,meter_only,test,19816,19816,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-base/few_shot_meter_only.json
google_flan-t5-base,google/flan-t5-base,seq2seq,few_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-base/few_shot_natural_text.json
google_flan-t5-base,google/flan-t5-base,seq2seq,few_shot,rhyme_only,test,43535,43535,0,0.0,43535,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-base/few_shot_rhyme_only.json
google_flan-t5-base,google/flan-t5-base,seq2seq,one_shot,combined,test,500,500,0,0.0,,,500,95.4,30.8,0.0,0.0,0.0,14.0,11.2,0.0,evaluation/results/baselines/prompt_only/google_flan-t5-base/one_shot_combined.json
google_flan-t5-base,google/flan-t5-base,seq2seq,one_shot,meter_only,test,19816,19816,14,0.071,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-base/one_shot_meter_only.json
google_flan-t5-base,google/flan-t5-base,seq2seq,one_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-base/one_shot_natural_text.json
google_flan-t5-base,google/flan-t5-base,seq2seq,one_shot,rhyme_only,test,43535,43535,680,1.562,43535,1.562,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-base/one_shot_rhyme_only.json
google_flan-t5-base,google/flan-t5-base,seq2seq,zero_shot,combined,test,500,500,0,0.0,,,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/google_flan-t5-base/zero_shot_combined.json
google_flan-t5-base,google/flan-t5-base,seq2seq,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-base/zero_shot_meter_only.json
google_flan-t5-base,google/flan-t5-base,seq2seq,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-base/zero_shot_natural_text.json
google_flan-t5-base,google/flan-t5-base,seq2seq,zero_shot,rhyme_only,test,43535,43535,0,0.0,43535,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-base/zero_shot_rhyme_only.json
google_flan-t5-large,google/flan-t5-large,seq2seq,few_shot,combined,test,500,500,0,0.0,,,500,6.2,0.6,0.0,0.0,0.0,1.6,0.55,0.0,evaluation/results/baselines/prompt_only/google_flan-t5-large/few_shot_combined.json
google_flan-t5-large,google/flan-t5-large,seq2seq,few_shot,meter_only,test,500,500,174,34.8,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-large/few_shot_meter_only.json
google_flan-t5-large,google/flan-t5-large,seq2seq,few_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-large/few_shot_natural_text.json
google_flan-t5-large,google/flan-t5-large,seq2seq,few_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-large/few_shot_rhyme_only.json
google_flan-t5-large,google/flan-t5-large,seq2seq,one_shot,combined,test,500,500,0,0.0,,,500,9.4,1.6,0.0,0.0,0.0,8.4,2.5,0.0,evaluation/results/baselines/prompt_only/google_flan-t5-large/one_shot_combined.json
google_flan-t5-large,google/flan-t5-large,seq2seq,one_shot,meter_only,test,19816,19816,846,4.269,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-large/one_shot_meter_only.json
google_flan-t5-large,google/flan-t5-large,seq2seq,one_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-large/one_shot_natural_text.json
google_flan-t5-large,google/flan-t5-large,seq2seq,one_shot,rhyme_only,test,500,500,10,2.0,500,2.0,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-large/one_shot_rhyme_only.json
google_flan-t5-large,google/flan-t5-large,seq2seq,zero_shot,combined,test,500,500,0,0.0,,,500,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/google_flan-t5-large/zero_shot_combined.json
google_flan-t5-large,google/flan-t5-large,seq2seq,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-large/zero_shot_meter_only.json
google_flan-t5-large,google/flan-t5-large,seq2seq,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-large/zero_shot_natural_text.json
google_flan-t5-large,google/flan-t5-large,seq2seq,zero_shot,rhyme_only,test,43535,43535,0,0.0,43535,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-large/zero_shot_rhyme_only.json
google_flan-t5-small,google/flan-t5-small,seq2seq,few_shot,combined,test,500,500,0,0.0,,,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/google_flan-t5-small/few_shot_combined.json
google_flan-t5-small,google/flan-t5-small,seq2seq,few_shot,meter_only,test,19816,19816,958,4.834,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-small/few_shot_meter_only.json
google_flan-t5-small,google/flan-t5-small,seq2seq,few_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-small/few_shot_natural_text.json
google_flan-t5-small,google/flan-t5-small,seq2seq,few_shot,rhyme_only,test,43535,43535,0,0.0,43535,0.276,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-small/few_shot_rhyme_only.json
google_flan-t5-small,google/flan-t5-small,seq2seq,one_shot,combined,test,500,500,2,0.4,,,500,44.4,17.0,0.0,0.8,39.4,38.0,23.8,0.4,evaluation/results/baselines/prompt_only/google_flan-t5-small/one_shot_combined.json
google_flan-t5-small,google/flan-t5-small,seq2seq,one_shot,meter_only,test,500,500,33,6.6,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-small/one_shot_meter_only.json
google_flan-t5-small,google/flan-t5-small,seq2seq,one_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-small/one_shot_natural_text.json
google_flan-t5-small,google/flan-t5-small,seq2seq,one_shot,rhyme_only,test,43535,43535,70,0.161,43535,0.161,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-small/one_shot_rhyme_only.json
google_flan-t5-small,google/flan-t5-small,seq2seq,zero_shot,combined,test,500,500,0,0.0,,,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/google_flan-t5-small/zero_shot_combined.json
google_flan-t5-small,google/flan-t5-small,seq2seq,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-small/zero_shot_meter_only.json
google_flan-t5-small,google/flan-t5-small,seq2seq,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-small/zero_shot_natural_text.json
google_flan-t5-small,google/flan-t5-small,seq2seq,zero_shot,rhyme_only,test,43535,43535,0,0.0,43535,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/google_flan-t5-small/zero_shot_rhyme_only.json
gpt2,gpt2,causal,few_shot,combined,test,500,500,0,0.0,,,500,100.0,34.8,0.0,2.4,81.2,0.0,29.6,0.0,evaluation/results/baselines/prompt_only/gpt2/few_shot_combined.json
gpt2,gpt2,causal,few_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2/few_shot_meter_only.json
gpt2,gpt2,causal,few_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2/few_shot_natural_text.json
gpt2,gpt2,causal,few_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2/few_shot_rhyme_only.json
gpt2,gpt2,causal,one_shot,combined,test,500,500,0,0.0,,,500,99.6,34.8,0.0,2.4,0.4,0.0,9.4,0.0,evaluation/results/baselines/prompt_only/gpt2/one_shot_combined.json
gpt2,gpt2,causal,one_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2/one_shot_meter_only.json
gpt2,gpt2,causal,one_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2/one_shot_natural_text.json
gpt2,gpt2,causal,one_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2/one_shot_rhyme_only.json
gpt2,gpt2,causal,zero_shot,combined,test,500,500,0,0.0,,,500,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/gpt2/zero_shot_combined.json
gpt2,gpt2,causal,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2/zero_shot_meter_only.json
gpt2,gpt2,causal,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2/zero_shot_natural_text.json
gpt2,gpt2,causal,zero_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2/zero_shot_rhyme_only.json
gpt2-large,gpt2-large,causal,few_shot,combined,test,500,500,0,0.0,,,500,100.0,29.0,0.0,1.4,60.6,0.0,22.75,0.0,evaluation/results/baselines/prompt_only/gpt2-large/few_shot_combined.json
gpt2-large,gpt2-large,causal,few_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-large/few_shot_meter_only.json
gpt2-large,gpt2-large,causal,few_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-large/few_shot_natural_text.json
gpt2-large,gpt2-large,causal,few_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-large/few_shot_rhyme_only.json
gpt2-large,gpt2-large,causal,one_shot,combined,test,500,500,0,0.0,,,500,99.6,34.8,0.0,2.2,0.6,0.0,9.4,0.0,evaluation/results/baselines/prompt_only/gpt2-large/one_shot_combined.json
gpt2-large,gpt2-large,causal,one_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-large/one_shot_meter_only.json
gpt2-large,gpt2-large,causal,one_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-large/one_shot_natural_text.json
gpt2-large,gpt2-large,causal,one_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-large/one_shot_rhyme_only.json
gpt2-large,gpt2-large,causal,zero_shot,combined,test,500,500,0,0.0,,,500,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/gpt2-large/zero_shot_combined.json
gpt2-large,gpt2-large,causal,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-large/zero_shot_meter_only.json
gpt2-large,gpt2-large,causal,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-large/zero_shot_natural_text.json
gpt2-large,gpt2-large,causal,zero_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-large/zero_shot_rhyme_only.json
gpt2-medium,gpt2-medium,causal,few_shot,combined,test,500,500,0,0.0,,,500,100.0,34.8,0.0,2.2,81.0,0.0,29.5,0.0,evaluation/results/baselines/prompt_only/gpt2-medium/few_shot_combined.json
gpt2-medium,gpt2-medium,causal,few_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-medium/few_shot_meter_only.json
gpt2-medium,gpt2-medium,causal,few_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-medium/few_shot_natural_text.json
gpt2-medium,gpt2-medium,causal,few_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-medium/few_shot_rhyme_only.json
gpt2-medium,gpt2-medium,causal,one_shot,combined,test,500,500,0,0.0,,,500,99.2,34.8,0.0,2.2,0.0,0.0,9.25,0.0,evaluation/results/baselines/prompt_only/gpt2-medium/one_shot_combined.json
gpt2-medium,gpt2-medium,causal,one_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-medium/one_shot_meter_only.json
gpt2-medium,gpt2-medium,causal,one_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-medium/one_shot_natural_text.json
gpt2-medium,gpt2-medium,causal,one_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-medium/one_shot_rhyme_only.json
gpt2-medium,gpt2-medium,causal,zero_shot,combined,test,500,500,0,0.0,,,500,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/gpt2-medium/zero_shot_combined.json
gpt2-medium,gpt2-medium,causal,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-medium/zero_shot_meter_only.json
gpt2-medium,gpt2-medium,causal,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-medium/zero_shot_natural_text.json
gpt2-medium,gpt2-medium,causal,zero_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/gpt2-medium/zero_shot_rhyme_only.json
meta-llama_Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,causal,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/meta-llama_Meta-Llama-3-8B-Instruct/zero_shot_meter_only.json
microsoft_phi-2,microsoft/phi-2,causal,few_shot,combined,test,500,500,0,0.0,,,500,100.0,34.8,0.0,2.6,19.0,0.0,14.1,0.0,evaluation/results/baselines/prompt_only/microsoft_phi-2/few_shot_combined.json
microsoft_phi-2,microsoft/phi-2,causal,few_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/microsoft_phi-2/few_shot_meter_only.json
microsoft_phi-2,microsoft/phi-2,causal,few_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/microsoft_phi-2/few_shot_natural_text.json
microsoft_phi-2,microsoft/phi-2,causal,few_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/microsoft_phi-2/few_shot_rhyme_only.json
microsoft_phi-2,microsoft/phi-2,causal,one_shot,combined,test,500,500,0,0.0,,,500,100.0,34.8,0.0,2.4,15.0,0.0,13.05,0.0,evaluation/results/baselines/prompt_only/microsoft_phi-2/one_shot_combined.json
microsoft_phi-2,microsoft/phi-2,causal,one_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/microsoft_phi-2/one_shot_meter_only.json
microsoft_phi-2,microsoft/phi-2,causal,one_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/microsoft_phi-2/one_shot_natural_text.json
microsoft_phi-2,microsoft/phi-2,causal,one_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/microsoft_phi-2/one_shot_rhyme_only.json
microsoft_phi-2,microsoft/phi-2,causal,zero_shot,combined,test,500,500,0,0.0,,,500,85.0,0.0,0.0,0.0,0.4,0.0,0.08,0.0,evaluation/results/baselines/prompt_only/microsoft_phi-2/zero_shot_combined.json
microsoft_phi-2,microsoft/phi-2,causal,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/microsoft_phi-2/zero_shot_meter_only.json
microsoft_phi-2,microsoft/phi-2,causal,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/microsoft_phi-2/zero_shot_natural_text.json
microsoft_phi-2,microsoft/phi-2,causal,zero_shot,rhyme_only,test,200,200,0,0.0,200,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/microsoft_phi-2/zero_shot_rhyme_only.json
mistralai_Mistral-7B-v0_1,mistralai/Mistral-7B-v0.1,causal,zero_shot,combined,test,500,500,0,0.0,,,500,97.8,0.0,0.0,0.0,79.4,0.0,19.85,0.0,evaluation/results/baselines/prompt_only/mistralai_Mistral-7B-v0_1/zero_shot_combined.json
mistralai_Mistral-7B-v0_1,mistralai/Mistral-7B-v0.1,causal,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/mistralai_Mistral-7B-v0_1/zero_shot_meter_only.json
mistralai_Mistral-7B-v0_1,mistralai/Mistral-7B-v0.1,causal,zero_shot,natural_text,test,200,200,0,0.0,,,,,,,,,,,,evaluation/results/baselines/prompt_only/mistralai_Mistral-7B-v0_1/zero_shot_natural_text.json
mistralai_Mistral-7B-v0_1,mistralai/Mistral-7B-v0.1,causal,zero_shot,rhyme_only,test,200,200,0,0.0,200,0.0,,,,,,,,,,evaluation/results/baselines/prompt_only/mistralai_Mistral-7B-v0_1/zero_shot_rhyme_only.json
